Package,Function,Parameter,Parameter Doc,Sink,Unusual
aaptjs,list,apkfilePath,,CommandInjection,yes
adb-driver,execADBCommand,command,,CommandInjection,no
alfred-workflow-nodejs,remove,key,,CommandInjection,yes
apex-publish-static-files,publish,connectString,,CommandInjection,yes
apiconnect-cli-plugins,installPlugin,pluginUri,,CommandInjection,yes
arpping,ping,range,,CommandInjection,yes
async-git,reset,destination,,CommandInjection,yes
bestzip,zip,destination,,CommandInjection,yes
blamer,blamer,args,,CommandInjection,yes
buns,install,requestModule,,CommandInjection,yes
clamscan,init,path,,CommandInjection,yes
codecov,upload,gcov-root,,CommandInjection,yes
command-exists,sync,commandName,,CommandInjection,yes
compass-compile,compile,compassCommand,,CommandInjection,no
connection-tester,test,host,,CommandInjection,yes
curling,run,command,,CommandInjection,yes
curljs,curljs,url,,CommandInjection,yes
deferred-exec,deferred-exec,command,,CommandInjection,no
diskstats,check,path,,CommandInjection,yes
diskusage-ng,diskusage-ng,path,,CommandInjection,yes
dns-sync,resolve,hostname,,CommandInjection,yes
effect,edge,image,,CommandInjection,yes
enpeem,update,production,,CommandInjection,yes
eslint-fixer,fix,filePath,,CommandInjection,yes
extra-asciinema,uploadSync,f,,CommandInjection,yes
ffmpeg-sdk,execute,command,,CommandInjection,no
ffmpegdotjs,trimvideo,output,,CommandInjection,yes
find-process,find-process,value,,CommandInjection,yes
freespace,freespace.check,driveOrMount,,CommandInjection,yes
geojson2kml,geojson2kml,outPath,,CommandInjection,yes
get-npm-package-version,get-npm-package-version,packageName,,CommandInjection,yes
git-add-remote,git-add-remote,name,,CommandInjection,yes
git-dummy-commit,git-dummy-commit,msg,,CommandInjection,yes
git-lib,add,files,,CommandInjection,yes
git-parse,gitDiff,file,,CommandInjection,yes
git-tags-remote,get,repo,,CommandInjection,yes
git,git,function_name,,CommandInjection,yes
gitblame,gitblame,file,,CommandInjection,yes
giting,pull,branch,,CommandInjection,yes
gity,commit,opts,,CommandInjection,yes
gm,compare,orig,,CommandInjection,yes
google-cloudstorage-commands,upload,bucket,,CommandInjection,yes
growl,growl,msg,,CommandInjection,yes
gry,pull,options,,CommandInjection,yes
heroku-env,heroku-env,app,,CommandInjection,yes
hot-formula-parser,parse,input,,CommandInjection,yes
im-metadata,im-metadata,path,,CommandInjection,yes
im-resize,im-resize,path,,CommandInjection,yes
imagickal,identify,path,,CommandInjection,yes
kill-by-port,killByPort,port,,CommandInjection,yes
kill-port-process,kill-port-process,input,,CommandInjection,yes
kill-process-by-name,kill-process-by-name,programname,,CommandInjection,yes
killing,killing,name,,CommandInjection,yes
killport,killport,port,,CommandInjection,yes
libnmap,scan,range,,CommandInjection,yes
local-devices,local-devices,address,,CommandInjection,yes
lsof,rawTcpPort,port,,CommandInjection,yes
lycwed-spritesheetjs,lycwed-spritesheetjs,fuzz,,CommandInjection,yes
macaddress,one,iface,,CommandInjection,yes
macfromip,getMacInLinux,ipAddress,,CommandInjection,yes
monorepo-build,build,cloneUrl,,CommandInjection,yes
node-df,node-df,file,,CommandInjection,yes
node-key-sender,execute,arrParams,,CommandInjection,yes
node-latex-pdf,node-latex-pdf,dest_file,,CommandInjection,yes
node-mpv,node-mpv,binary,,CommandInjection,yes
node-ps,lookup,psargs,,CommandInjection,yes
node-unrar,_execute,dstPath,,CommandInjection,yes
npm-git-publish,publish,gitRemoteUrl,,CommandInjection,yes
npm-help,latestVersion,module,,CommandInjection,yes
onion-oled-js,scroll,direction,,CommandInjection,yes
open,open,target,,CommandInjection,yes
pdf-image,PDFImage,pdfFilePath,,CommandInjection,yes
pdf-image,PDFImage,pdfFilePath,,CommandInjection,yes
pdfinfojs,pdfinfojs,filename,,CommandInjection,yes
pidusage,stat,pid,,CommandInjection,yes
port-killer,port-killer,port,,CommandInjection,yes
portkiller,portkiller,port,,CommandInjection,yes
portprocesses,killProcess,pid,,CommandInjection,yes
ps-kill,kill,pid,,CommandInjection,yes
ps-visitor,kill,pid,,CommandInjection,yes
ps,lookup,query,,CommandInjection,yes
psnode,kill,pid,,CommandInjection,yes
react-dev-utils,react-dev-utils/getProcessForPort,port,,CommandInjection,yes
roar-pidusage,stat,pid,,CommandInjection,yes
samsung-remote,samsung-remote,ip,,CommandInjection,yes
scp,send,file,,CommandInjection,yes
strider-git,getBranches,type,,CommandInjection,yes
theme-core,sh,cmd,,CommandInjection,no
@thi.ng/egf,gpg,body,,CommandInjection,yes
total.js,stream,type,,CommandInjection,yes
ts-process-promises,exec,command,,CommandInjection,no
umount,umount,device,,CommandInjection,yes
vboxmanage.js,start,vmname,,CommandInjection,yes
wc-cmd,cmd,command,,CommandInjection,no
whereis,whereis,name,,CommandInjection,yes
wincred,getCredential,target,,CommandInjection,yes
xopen,xopen,filepath,,CommandInjection,yes
xps,kill,pid,,CommandInjection,yes
hangersteak,hangersteak,url,,TaintedPath,yes
access-policy,encode,statements,,CodeInjection,yes
cd-messenger,line,color,,CodeInjection,yes
djv,addSchema,schema,,CodeInjection,yes
hot-formula-parser,parse,expression,,CodeInjection,yes
is-my-json-valid,is-my-json-valid,schema,,CodeInjection,yes
js-yaml,load,input,,CodeInjection,yes
jsen,jsen,schema,,CodeInjection,yes
json-ptr,get,pointer,,CodeInjection,yes
kmc,analyze,inputFile,,CodeInjection,yes
local-devices,local-devices,address,,CommandInjection,yes
m-log,setColorTheme,colorTheme,,CodeInjection,yes
marsdb,find,$where,,CodeInjection,yes
mathjs,eval,expr,,CodeInjection,yes
mathjs,eval,expr,,CodeInjection,yes
mixin-pro,createClass,name,,CodeInjection,yes
mobile-icon-resizer,mobile-icon-resizer,baseRatio,,CodeInjection,yes
modjs,findSeajsConfig,fileContents,,CodeInjection,yes
modulify,getGlobals,src,,CodeInjection,no
mol-proto,makeFunction,functionBody,,CodeInjection,yes
mongo-parse,parse,query,,CodeInjection,yes
mongoosemask,mask,values,,CodeInjection,yes
mosc,parse_properties,properties,,CodeInjection,yes
node-extend,node-extend,A,,CodeInjection,yes
node-rules,fromJSON,condition,,CodeInjection,yes
node-serialize,unserialize,obj,,CodeInjection,yes
open,open,target,,CommandInjection,yes
pixl-class,create,__parent,,CodeInjection,yes
realms-shim,evaluate,x,,CodeInjection,yes
reduce-css-calc,reduce-css-calc,value,,CodeInjection,yes
safe-eval,safe-eval,code,,CodeInjection,yes
safer-eval,safer-eval,code,,CodeInjection,yes
serialize-javascript,serialize-javascript,obj,,CodeInjection,yes
serialize-to-js,deserialize,str,,CodeInjection,yes
static-eval,static-eval,ast,,CodeInjection,yes
thenify,thenify,name,,CodeInjection,yes
underscore,template,variable,,CodeInjection,yes
value-censorship,value-censorship,code,,CodeInjection,yes
veval,veval,scr,,CodeInjection,yes
wifiscanner,wifiscanner,args,,CommandInjection,yes